path,filename,label,Question,original_text,Request,token_repeat_3,sentence_repeat_3,token_repeat_5,sentence_repeat_5,token_repeat_10,sentence_repeat_10
../data/image/purse/n04026417_1335.JPEG,n04026417_1335,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of fabric is used for these earrings?,The earrings are made from a combination of fabric and metal.,The earrings are made from a combination of fabric and metal metal metal metal,The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal,The earrings are made from a combination of fabric and metal metal metal metal metal metal,The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal,The earrings are made from a combination of fabric and metal metal metal metal metal metal metal metal metal metal metal,The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal The earrings are made from a combination of fabric and metal
../data/image/purse/n04026417_27309.JPEG,n04026417_27309,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of fabric is used for the bag in the picture?,"The bag in the picture is made of a combination of different fabrics, including a floral print and a plaid pattern.",The bag in the picture is made of a combination of different fabrics fabrics fabrics fabrics,The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics,The bag in the picture is made of a combination of different fabrics fabrics fabrics fabrics fabrics fabrics,The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics,The bag in the picture is made of a combination of different fabrics fabrics fabrics fabrics fabrics fabrics fabrics fabrics fabrics fabrics fabrics,The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics The bag in the picture is made of a combination of different fabrics
../data/image/purse/n04026417_7043.JPEG,n04026417_7043,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the purpose of the pink tag attached to the black and red floral pouch?,"The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin. The tag can contain information such as the owner's name, contact details, or a unique identifier. This helps in case the bag gets lost or misplaced, making it easier for the owner to locate and retrieve it. Additionally, the tag can also serve as a decorative element, adding a touch of personalization to the bag.",The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin origin origin origin,The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin,The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin origin origin origin origin origin,The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin,The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin origin origin origin origin origin origin origin origin origin origin,The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin The purpose of the pink tag attached to the black and red floral pouch is to identify the owner or the bag's origin
../data/image/purse/n04026417_17473.JPEG,n04026417_17473,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of knitting pattern was used to create the bag shown in the picture?,The bag shown in the picture was created using a crochet pattern.,The bag shown in the picture was created using a crochet pattern pattern pattern pattern,The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern,The bag shown in the picture was created using a crochet pattern pattern pattern pattern pattern pattern,The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern,The bag shown in the picture was created using a crochet pattern pattern pattern pattern pattern pattern pattern pattern pattern pattern pattern,The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern The bag shown in the picture was created using a crochet pattern
../data/image/purse/n04026417_15020.JPEG,n04026417_15020,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What design elements can be seen on the red and white fabric item in the picture?,"The red and white fabric item in the picture features a bird design, which is a prominent design element. The bird is depicted in a stitched pattern, adding a unique and artistic touch to the item. The combination of red and white colors, along with the bird design, creates a visually appealing and distinctive piece of fabric.",The red and white fabric item in the picture features a bird design design design design,The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design,The red and white fabric item in the picture features a bird design design design design design design,The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design,The red and white fabric item in the picture features a bird design design design design design design design design design design design,The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design The red and white fabric item in the picture features a bird design
../data/image/necklace/n03814906_5455.JPEG,n03814906_5455,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,The picture displays a necklace with a variety of beads and a gold chain.,The picture displays a necklace with a variety of beads and a gold chain chain chain chain,The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain,The picture displays a necklace with a variety of beads and a gold chain chain chain chain chain chain,The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain,The picture displays a necklace with a variety of beads and a gold chain chain chain chain chain chain chain chain chain chain chain,The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain The picture displays a necklace with a variety of beads and a gold chain
../data/image/necklace/n03814906_25181.JPEG,n03814906_25181,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is depicted in the picture?,"The picture shows a necklace with a pendant, which is a type of jewelry.",The picture shows a necklace with a pendant pendant pendant pendant,The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant,The picture shows a necklace with a pendant pendant pendant pendant pendant pendant,The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant,The picture shows a necklace with a pendant pendant pendant pendant pendant pendant pendant pendant pendant pendant pendant,The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant The picture shows a necklace with a pendant
../data/image/necklace/n03814906_39320.JPEG,n03814906_39320,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,The picture displays a necklace made of purple flowers.,The picture displays a necklace made of purple flowers flowers flowers flowers,The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers,The picture displays a necklace made of purple flowers flowers flowers flowers flowers flowers,The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers,The picture displays a necklace made of purple flowers flowers flowers flowers flowers flowers flowers flowers flowers flowers flowers,The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers The picture displays a necklace made of purple flowers
../data/image/necklace/n03814906_31762.JPEG,n03814906_31762,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the significance of the necklace with the pendant featuring a portrait?,"The significance of the necklace with the pendant featuring a portrait could be related to personal style, sentimental value, or a connection to a particular event or person. The portrait on the pendant might represent a loved one, a historical figure, or a significant event in the wearer's life. The necklace, along with the pendant, serves as a unique and eye-catching accessory that can be worn to express the wearer's personality, showcase their taste in fashion, or convey a deeper meaning to those who see it.",The significance of the necklace with the pendant featuring a portrait could be related to personal style style style style,The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style,The significance of the necklace with the pendant featuring a portrait could be related to personal style style style style style style,The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style,The significance of the necklace with the pendant featuring a portrait could be related to personal style style style style style style style style style style style,The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style The significance of the necklace with the pendant featuring a portrait could be related to personal style
../data/image/necklace/n03814906_86087.JPEG,n03814906_86087,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,The picture displays a necklace made of glass beads.,The picture displays a necklace made of glass beads beads beads beads,The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads,The picture displays a necklace made of glass beads beads beads beads beads beads,The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads,The picture displays a necklace made of glass beads beads beads beads beads beads beads beads beads beads beads,The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads The picture displays a necklace made of glass beads
../data/image/carton/n02971356_7074.JPEG,n02971356_7074,carton,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of equipment is depicted in the picture?,"The picture shows an old-fashioned audio mixing board, which is a piece of electronic equipment used for recording and mixing audio signals.",The picture shows an old-fashioned audio mixing board board board board,The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board,The picture shows an old-fashioned audio mixing board board board board board board,The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board,The picture shows an old-fashioned audio mixing board board board board board board board board board board board,The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board The picture shows an old-fashioned audio mixing board
../data/image/carton/n02971356_14134.JPEG,n02971356_14134,carton,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of origami box is depicted in the picture?,The picture shows a green origami box with a yellow bow on top.,The picture shows a green origami box with a yellow bow on top top top top,The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top,The picture shows a green origami box with a yellow bow on top top top top top top,The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top,The picture shows a green origami box with a yellow bow on top top top top top top top top top top top,The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top The picture shows a green origami box with a yellow bow on top
../data/image/carton/n02971356_6724.JPEG,n02971356_6724,carton,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What product is being sold in this picture?,"In this picture, a box containing a desktop computer is being sold.",In this picture picture picture picture,In this picture In this picture In this picture,In this picture picture picture picture picture picture,In this picture In this picture In this picture In this picture In this picture,In this picture picture picture picture picture picture picture picture picture picture picture,In this picture In this picture In this picture In this picture In this picture In this picture In this picture In this picture In this picture In this picture
../data/image/carton/n02971356_30993.JPEG,n02971356_30993,carton,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of produce is being sold at the market?,The man at the market is selling bananas.,The man at the market is selling bananas bananas bananas bananas,The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas,The man at the market is selling bananas bananas bananas bananas bananas bananas,The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas,The man at the market is selling bananas bananas bananas bananas bananas bananas bananas bananas bananas bananas bananas,The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas The man at the market is selling bananas
../data/image/carton/n02971356_17472.JPEG,n02971356_17472,carton,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the kitten hiding behind in the picture?,The kitten is hiding behind a cardboard box in the picture.,The kitten is hiding behind a cardboard box in the picture picture picture picture,The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture,The kitten is hiding behind a cardboard box in the picture picture picture picture picture picture,The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture,The kitten is hiding behind a cardboard box in the picture picture picture picture picture picture picture picture picture picture picture,The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture The kitten is hiding behind a cardboard box in the picture
../data/image/folding_chair/n03376595_5160.JPEG,n03376595_5160,folding_chair,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the person sitting on the chair doing?,"The person sitting on the chair is likely enjoying the snowy environment, possibly taking a break or relaxing. The chair is placed in the snow, and there are some items, such as a backpack and a bottle, nearby. The presence of the backpack and the bottle suggests that the person might be on a hike or a winter outing, and they have stopped to rest or take a break from their activity.",The person sitting on the chair is likely enjoying the snowy environment environment environment environment,The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment,The person sitting on the chair is likely enjoying the snowy environment environment environment environment environment environment,The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment,The person sitting on the chair is likely enjoying the snowy environment environment environment environment environment environment environment environment environment environment environment,The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment The person sitting on the chair is likely enjoying the snowy environment
